TheatreID,Title,IMDB
f-0100003486,"""Henry V"" presented by National Theatre Live",https://www.imdb.com/title/tt19799186/?ref_=fn_tt_tt_10
f-0100003536,AFRICAN REDEMPTION,https://www.imdb.com/title/tt14016198/?ref_=nv_sr_srsg_0
f-0100003446,ARREBATO (1979),https://www.imdb.com/title/tt0078797/?ref_=nv_sr_srsg_0
f-0100003525,ATARDI,https://www.imdb.com/title/tt14015996/?ref_=nv_sr_srsg_0
f-0100003539,BETWEEN DOG AND WOLF,https://www.imdb.com/title/tt11772786/?ref_=nv_sr_srsg_0
f-0100000087,BLUE VELVET,https://www.imdb.com/title/tt0090756/?ref_=nv_sr_srsg_0
f-0100003445,BRONCO BULLFROG,https://www.imdb.com/title/tt0064111/
f-0100003507,BUCK AND THE PREACHER,https://www.imdb.com/title/tt0068323/?ref_=nv_sr_srsg_0
f-0100003524,BULADÓ,https://www.imdb.com/title/tt12182440/?ref_=nv_sr_srsg_0
f-0100003444,"CAT O' NINE TAILS, THE",https://www.imdb.com/title/tt0065761/?ref_=nv_sr_srsg_0
f-0100002035,"CLOCKWORK ORANGE, A",https://www.imdb.com/title/tt0066921/?ref_=nv_sr_srsg_0
f-0100003516,Closing Night: OFFICIAL COMPETITION,https://www.imdb.com/title/tt11700260/?ref_=nv_sr_srsg_0
f-0100003519,CRIMES OF THE FUTURE (2022),https://www.imdb.com/title/tt14549466/?ref_=nv_sr_srsg_0
f-0100002489,DEEP RED,https://www.imdb.com/title/tt0073582/?ref_=nv_sr_srsg_0
f-0100003512,"DEFIANT ONES, THE",https://www.imdb.com/title/tt0051525/?ref_=nv_sr_srsg_2
f-0100003463,"DEVIL RIDES OUT, THE",https://www.imdb.com/title/tt0062885/?ref_=nv_sr_srsg_0
f-0100003457,DIVORCE ITALIAN STYLE,https://www.imdb.com/title/tt0055913/?ref_=nv_sr_srsg_0
f-0100003377,DOWNTON ABBEY: A NEW ERA,https://www.imdb.com/title/tt11703710/?ref_=nv_sr_srsg_0
f-0100003425,EARWIG AND THE WITCH,https://www.imdb.com/title/tt12441478/?ref_=nv_sr_srsg_0
f-0100003399,EVERYTHING EVERYWHERE ALL AT ONCE,https://www.imdb.com/title/tt6710474/?ref_=nv_sr_srsg_1
f-0100003517,FIDDLER'S JOURNEY TO THE BIG SCREEN,https://www.imdb.com/title/tt13660266/?ref_=nv_sr_srsg_0
f-0100003500,FREAKSCENE: THE STORY OF DINOSAUR JR.,https://www.imdb.com/title/tt14781332/?ref_=nv_sr_srsg_0
f-0100003527,FREDA,https://www.imdb.com/title/tt14775496/?ref_=fn_al_tt_1
f-0100003421,FROM UP ON POPPY HILL,https://www.imdb.com/title/tt1798188/?ref_=nv_sr_srsg_0
f-0100003491,GEORGE MICHAEL FREEDOM UNCUT,https://www.imdb.com/title/tt8000146/?ref_=nm_flmg_prd_2
f-0100003199,"GOOD BOSS, THE",https://www.imdb.com/title/tt13066182/?ref_=nv_sr_srsg_0
f-0100003505,"GOOD-BYE, MY LADY",https://www.imdb.com/title/tt0049271/?ref_=nv_sr_srsg_0
f-0100003492,"GRANDMOTHER, THE",https://www.imdb.com/title/tt11807888/?ref_=nv_sr_srsg_0
f-0100003511,GUESS WHO'S COMING TO DINNER,https://www.imdb.com/title/tt0061735/?ref_=nv_sr_srsg_0
f-0100003531,"HARDER THEY COME, THE",https://www.imdb.com/title/tt0070155/?ref_=nv_sr_srsg_0
f-0100002604,"HEARTBREAK KID, THE (1972)",https://www.imdb.com/title/tt0068687/?ref_=nv_sr_srsg_3
f-0100003450,HEDWIG AND THE ANGRY INCH,https://www.imdb.com/title/tt0248845/?ref_=nv_sr_srsg_0
f-0100000282,HORROR OF DRACULA (1958),https://www.imdb.com/title/tt0051554/?ref_=nv_sr_srsg_0
f-0100003418,HOWL'S MOVING CASTLE,https://www.imdb.com/title/tt0347149/?ref_=nv_sr_srsg_0
f-0100001640,IN THE HEAT OF THE NIGHT,https://www.imdb.com/title/tt0061811/?ref_=nv_sr_srsg_2
f-0100003532,INNA DE YARD: THE SOUL OF JAMAICA,https://www.imdb.com/title/tt7621830/?ref_=nv_sr_srsg_0
f-0100001451,I'VE HEARD THE MERMAIDS SINGING,https://www.imdb.com/title/tt0093239/?ref_=nv_sr_srsg_0
f-0100003454,KIND HEARTS AND CORONETS,https://www.imdb.com/title/tt0041546/?ref_=nv_sr_srsg_0
f-0100003431,LA DOLCE VITA,https://www.imdb.com/title/tt0053779/?ref_=nv_sr_srsg_0
f-0100003453,"LADYKILLERS, THE (1955)",https://www.imdb.com/title/tt0048281/?ref_=nv_sr_srsg_3
f-0100003534,"LAST TOUR, THE (2021)",https://www.imdb.com/title/tt11967314/?ref_=nv_sr_srsg_0
f-0100003504,LILIES OF THE FIELD (1963),https://www.imdb.com/title/tt0057251/?ref_=nv_sr_srsg_0
f-0100003497,LULLABY (2022),https://www.imdb.com/title/tt14755038/?ref_=nv_sr_srsg_0
f-0100002558,MIDNIGHT COWBOY,https://www.imdb.com/title/tt0064665/?ref_=nv_sr_srsg_0
f-0100002618,MIKEY & NICKY,https://www.imdb.com/title/tt0074901/?ref_=nv_sr_srsg_0
f-0100003442,MR. KLEIN,https://www.imdb.com/title/tt0074916/?ref_=nv_sr_srsg_0
f-0100003455,"MUSIC ROOM, THE",https://www.imdb.com/title/tt0051792/?ref_=nv_sr_srsg_0
f-0100003496,MY EMPTINESS AND I,https://www.imdb.com/title/tt16965198/?ref_=nv_sr_srsg_0
f-0100003415,MY NEIGHBORS THE YAMADAS,https://www.imdb.com/title/tt0206013/?ref_=nv_sr_srsg_0
f-0100003449,NIGHTS OF CABIRIA,https://www.imdb.com/title/tt0050783/?ref_=nv_sr_srsg_0
f-0100003411,OCEAN WAVES,https://www.imdb.com/title/tt0108432/?ref_=nv_sr_srsg_0
f-0100003494,"ODD-JOB MEN, THE",https://www.imdb.com/title/tt9310606/?ref_=nv_sr_srsg_0
f-0100003495,Opening Night: CARPOOLERS,https://www.imdb.com/title/tt11645056/?ref_=nv_sr_srsg_0
f-0100003441,"OTHER SIDE OF THE WIND, THE",https://www.imdb.com/title/tt0069049/?ref_=nv_sr_srsg_0
f-0100003528,OUVERTURES,https://www.imdb.com/title/tt11051576/?ref_=nv_sr_srsg_0
f-0100003506,PARIS BLUES,https://www.imdb.com/title/tt0055278/?ref_=nv_sr_srsg_0
f-0100003447,PARIS IS BURNING,https://www.imdb.com/title/tt0100332/?ref_=nv_sr_srsg_0
f-0100003493,PIGGY (2022),https://www.imdb.com/title/tt10399608/?ref_=nv_sr_srsg_0
f-0100003412,POM POKO,https://www.imdb.com/title/tt0110008/?ref_=nv_sr_srsg_0
f-0100002716,PONYO,https://www.imdb.com/title/tt0876563/?ref_=nv_sr_srsg_0
f-0100003513,PRESSURE POINT (1962),https://www.imdb.com/title/tt0056370/?ref_=nv_sr_srsg_1
f-0100003490,PRIDE (2014),https://www.imdb.com/title/tt3169706/?ref_=nv_sr_srsg_0
f-0100003414,PRINCESS MONONOKE,https://www.imdb.com/title/tt0119698/?ref_=nv_sr_srsg_0
f-0100003508,"RAISIN IN THE SUN, A (1961)",https://www.imdb.com/title/tt0055353/?ref_=nv_sr_srsg_2
f-0100003538,REBEL DREAD,https://www.imdb.com/title/tt9174746/?ref_=nv_sr_srsg_0
f-0100003498,"REPLACEMENT, THE (2021)",https://www.imdb.com/title/tt11579538/?ref_=nv_sr_srsg_5
f-0100003541,RRR,https://www.imdb.com/title/tt8178634/?ref_=nv_sr_srsg_0
f-0100003499,"SACRED SPIRIT, THE",https://www.imdb.com/title/tt13841874/?ref_=nv_sr_srsg_0
f-0100003535,SHE PARADISE,https://www.imdb.com/title/tt10442666/?ref_=nv_sr_srsg_0
f-0100003509,"SLENDER THREAD, THE",https://www.imdb.com/title/tt0059729/?ref_=nv_sr_srsg_0
f-0100003514,SNEAKERS,https://www.imdb.com/title/tt0105435/?ref_=nv_sr_srsg_0
f-0100003417,SPIRITED AWAY,https://www.imdb.com/title/tt0245429/?ref_=nv_sr_srsg_2
f-0100003515,STIR CRAZY,https://www.imdb.com/title/tt0081562/?ref_=nv_sr_srsg_0
f-0100003529,STUDIO 17: THE LOST REGGAE TAPES,https://www.imdb.com/title/tt6794912/?ref_=nv_sr_srsg_0
f-0100003452,STUNT ROCK,https://www.imdb.com/title/tt0078335/?ref_=nv_sr_srsg_0
f-0100003526,SUGAR CANE MALICE,https://www.imdb.com/title/tt15428738/?ref_=nv_sr_srsg_0
f-0100003419,TALES FROM EARTHSEA,https://www.imdb.com/title/tt0495596/?ref_=nv_sr_srsg_0
f-0100003416,THE CAT RETURNS with GHIBLIES: EPISODE 2,https://www.imdb.com/title/tt0347618/?ref_=nv_sr_srsg_0
f-0100003420,THE SECRET WORLD OF ARRIETTY,https://www.imdb.com/title/tt1568921/?ref_=nv_sr_srsg_0
f-0100003422,THE TALE OF THE PRINCESS KAGUYA,https://www.imdb.com/title/tt2576852/?ref_=nv_sr_srsg_0
f-0100003423,THE WIND RISES,https://www.imdb.com/title/tt2013293/?ref_=nv_sr_srsg_0
f-0100003510,"TO SIR, WITH LOVE",https://www.imdb.com/title/tt0062376/?ref_=nv_sr_srsg_0
f-0100003424,WHEN MARNIE WAS THERE,https://www.imdb.com/title/tt3398268/?ref_=nv_sr_srsg_0
f-0100003413,WHISPER OF THE HEART,https://www.imdb.com/title/tt0113824/?ref_=nv_sr_srsg_0
f-0100003448,"WHITE SHEIK, THE (1952)",https://www.imdb.com/title/tt0044000/?ref_=nv_sr_srsg_0
f-0100000284,"WICKER MAN, THE: FINAL CUT",https://www.imdb.com/title/tt0070917/?ref_=nv_sr_srsg_0
f-0100003533,ZEPÓN,https://www.imdb.com/title/tt19495772/?ref_=nv_sr_srsg_0