"Album","Artist","Jacket"
"Die Schönsten Deutschen Weihnachtslieder","Various","https://i.discogs.com/0t1AAFEfB17MBO8s6U6wrjQMgjMsdhajEfWMpF3VTTY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ1/ODYzMDktMTQ4MDYz/NTMyNi04MDQxLmpw/ZWc.jpeg"
"Beggars Banquet","Rolling Stones","https://i.discogs.com/zQ-YpFJb1LBF9ozNgDbPQ_ej3Uu39fR2nkbCsbwNisc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/NjkxOTUtMTQzMDY1/NzExNi03MTI1Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Igor Stravinsky","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Alexander Borodin","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Robert Shaw","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Atlanta Symphony Orchestra","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Chorus","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"Swingin' My Way Through College","Maynard Ferguson And His Orchestra","https://i.discogs.com/smyBhc70p7012A46IGz_fUQWu2JxH_sSXHIGPYVMmJY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMz/NDU4ODUtMTMyNjc1/NzcyMi5qcGVn.jpeg"
"At Last / Perfidia","Glenn Miller And His Orchestra","https://i.discogs.com/8KZGIUGcZhcZuwJRx7T6e24S9vOG0NTXSIKM8E6ztFU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/OTA5NjEwLTE1MjQ2/MTcyMTUtNzcyMi5q/cGVn.jpeg"
"Glenn Miller And His Orchestra Volume One","Glenn Miller And His Orchestra","https://i.discogs.com/f-sJh3ZsCLXomeLOp5Nob29e9_8SRP-hV03pJviSaYI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE3/OTcxOTQtMTMzOTMy/MzQzMC01NDMwLmpw/ZWc.jpeg"
"Glenn Miller Concert (Volume I)","Glenn Miller And His Orchestra","https://i.discogs.com/IiwaGXNQbGaOMTJM1dS7_w7OYp4r3SD6sCPgAhV8pn8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MDUwMDEzLTE1NjA3/NjYzNzYtNjEzOC5q/cGVn.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","David Bowie","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Prokofiev","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Eugene Ormandy","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","The Philadelphia Orchestra","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Britten","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Waltzes","Rubinstein","https://i.discogs.com/DqRwRyp0Yh9IQ1b9b2f4MGJCY5UQnAX7AfXkHyZF-NA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/MjM3NzMtMTMwMjY2/NDI2Mi5qcGVn.jpeg"
"Waltzes","Chopin","https://i.discogs.com/DqRwRyp0Yh9IQ1b9b2f4MGJCY5UQnAX7AfXkHyZF-NA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/MjM3NzMtMTMwMjY2/NDI2Mi5qcGVn.jpeg"
"Goodbye Yellow Brick Road","Elton John","https://i.discogs.com/dasg4J4U-RI26jZZkb88oNkzn5NzqRyCIrCWgV9uie0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/NzIzMjI1LTE1NTk3/NjY2NDktNTI3Ni5q/cGVn.jpeg"
"Don't Ask My Neighbors","Raul de Souza","https://i.discogs.com/QFTdztYmw1_5cCfTjT5grcwhQO_q5AoTGDi-sBjreYw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE2/OTY3NzEtMTQ3NjM3/Mjk1NS02MzI5Lmpw/ZWc.jpeg"
"All Star Sextet","Charlie Parker","https://i.discogs.com/H-bPY8KQfUagd8Yfjehy_v08RmIAiSvVCFxQzS012DQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MTk2MTcyLTE1NTUz/NDMyMDYtOTg0OC5q/cGVn.jpeg"
"Glorious Results Of A Misspent Youth","Joan Jett And The Blackhearts","https://i.discogs.com/yo5KQe2_kxaHE8nwS2JOYr_zY0LeTYHirBslO7Ai25Q/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcz/OTgyNTItMTQ0MDYz/NjU2Ni0xODM4Lmpw/ZWc.jpeg"
"A Man, A Moon And A Maid / Cuban Yodelin' Man","Enric Madriguera And His Orchestra","https://i.discogs.com/uqnrTQwYdRJL-4SQ6gLCGVqDXtWCnRSojXLyarYrJIQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/MTE0MjAtMTM1ODY3/MjE5NS00NTI0Lmpw/ZWc.jpeg"
"Remain In Light","Talking Heads","https://i.discogs.com/rIfJToXKaTKrDlsFpDBF5IbYDhXE9Y61sDWY4UQHGV4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/NjQ5MS0xNTQxOTQ1/NDcyLTQ3OTUuanBl/Zw.jpeg"
"Baltimore","Nina Simone","https://i.discogs.com/uWairYW4X-Zpj38cbZ17L_1PZhzJTVIEci26TqvXIro/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg1/OTAzMjgtMTQ2NDY0/MTc4MC00NTM5Lmpw/ZWc.jpeg"
"Whitney Houston","Whitney Houston","https://i.discogs.com/aYAo48xEBSgi7kKlocxQtQp8JJ59561_1UTMj1SeX3w/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/ODEyNzEtMTUxMzU2/OTQ5My01NjYxLmpw/ZWc.jpeg"
"The World Is A Ghetto","War","https://i.discogs.com/Osfxl8O2hjtziRjkXGt-4kV6ipPs4yfNUA6RcGTtwIU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/ODA2Mi0xNTM2NjA5/ODk3LTc0MjUuanBl/Zw.jpeg"
"Easy Rider (Songs As Performed In The Motion Picture)","Various","https://i.discogs.com/sPITZbv1gVo8aoDJgN5os25QMo2SRONWsrYOr8vjXKk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM5/Mjc0Ni0xNDMzNzYw/Mzg4LTYwODAuanBl/Zw.jpeg"
"Wanted For: The Big Break - La Gran Fuga","Willie Colon","https://i.discogs.com/4VhvTf-kOW0KGyrXRopxUmzfE8DVEExTRcNWiyfPaD0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NTY3MzM3LTE1Mzc3/NDYwMjUtNjg5My5q/cGVn.jpeg"
"The Hustler","Willie Colón","https://i.discogs.com/V5bapX8WITHk23vnKJz0lejgVprGclNVXXFE64j8vSk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE0/NDA1ODU3LTE1NzM4/NzA4MTYtNzY0Ny5q/cGVn.jpeg"
"The Persuasive Trombone Of Urbie Green Volume 2","Urbie Green And His Orchestra","https://i.discogs.com/cxFXvjGxVfJt5nKWDD8xkpOPPEmddq7gIhdI-rMsIWU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NDkzNTQtMTYyOTY1/MzAzNC0zNzU2Lmpw/ZWc.jpeg"
"The Persuasive Trombone Of Urbie Green","Urbie Green And His Orchestra","https://i.discogs.com/O8DCGy1D1EKUklU42AMGtTPhzF5uGQWRPn-KWti3UuU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NTI4NzAtMTM4MDQy/MzQwNC01NjIxLmpw/ZWc.jpeg"
"Tyree Glenn At The Roundtable","Tyree Glenn","https://i.discogs.com/9y7kwoOvqwYzdK7ROnhHJHkHzDE8fnTThfaZwMC0nFo/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/MTA4MDE5LTE2MTg1/MTIyNjItNjk1NS5q/cGVn.jpeg"
"Tipica '73","Tipica 73","https://i.discogs.com/5DOS7sITtilNCH2-1ALYSUqmxwuhQcAweee85WLyLng/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NzM3ODQ5LTE1NDEw/MDY1NzItODg0Ni5q/cGVn.jpeg"
"Concerto No. 2 • Concerto No. 1","Rachmaninoff","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","Liszt","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","Rubinstein","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","Reiner","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","Chicago Symphony","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","Wallenstein","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Concerto No. 2 • Concerto No. 1","RCA Victor Symphony","https://i.discogs.com/goiqfIbPIBgtmg4J94MdtJPpE4UjNjiKMUK-g1WEjUA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzkxNDEtMTM4ODIy/Njc1Ny0xMTEwLmpw/ZWc.jpeg"
"Die Walküre","Richard Wagner","https://i.discogs.com/vHfBGF7hEJUG7itJui2Ze4bDkt631tl6mXaqmg8Ke6k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/ODI3NDItMTU2MDY4/Mzc1Mi0xMDk1Lmpw/ZWc.jpeg"
"Die Walküre","Berliner Philharmoniker","https://i.discogs.com/vHfBGF7hEJUG7itJui2Ze4bDkt631tl6mXaqmg8Ke6k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/ODI3NDItMTU2MDY4/Mzc1Mi0xMDk1Lmpw/ZWc.jpeg"
"Die Walküre","Herbert Von Karajan","https://i.discogs.com/vHfBGF7hEJUG7itJui2Ze4bDkt631tl6mXaqmg8Ke6k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/ODI3NDItMTU2MDY4/Mzc1Mi0xMDk1Lmpw/ZWc.jpeg"
"Don Quixote","Strauss","https://i.discogs.com/f15xJnFmjPVKma3N-uMfzEbgOCTE0Tt770h5cl8yO0k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjU5OTU5LTE1MjYw/MzMwNTMtODMxMS5q/cGVn.jpeg"
"Don Quixote","Fritz Reiner","https://i.discogs.com/f15xJnFmjPVKma3N-uMfzEbgOCTE0Tt770h5cl8yO0k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjU5OTU5LTE1MjYw/MzMwNTMtODMxMS5q/cGVn.jpeg"
"Don Quixote","Chicago Symphony","https://i.discogs.com/f15xJnFmjPVKma3N-uMfzEbgOCTE0Tt770h5cl8yO0k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjU5OTU5LTE1MjYw/MzMwNTMtODMxMS5q/cGVn.jpeg"
"Don Quixote","Antonio Janigro","https://i.discogs.com/f15xJnFmjPVKma3N-uMfzEbgOCTE0Tt770h5cl8yO0k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjU5OTU5LTE1MjYw/MzMwNTMtODMxMS5q/cGVn.jpeg"
"Don Quixote","Milton Preves","https://i.discogs.com/f15xJnFmjPVKma3N-uMfzEbgOCTE0Tt770h5cl8yO0k/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NjU5OTU5LTE1MjYw/MzMwNTMtODMxMS5q/cGVn.jpeg"
"Cello Concerto / Cello Concerto No.1","Rostropovitch","https://i.discogs.com/ocz7iO06t0rJK0wELhZ5l8BBfj1u4uM9_yagvzStlWE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NjI4MjMtMTUyMTEy/MzQxNy05MjI2Lmpw/ZWc.jpeg"
"Cello Concerto / Cello Concerto No.1","Giulini","https://i.discogs.com/ocz7iO06t0rJK0wELhZ5l8BBfj1u4uM9_yagvzStlWE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NjI4MjMtMTUyMTEy/MzQxNy05MjI2Lmpw/ZWc.jpeg"
"Cello Concerto / Cello Concerto No.1","Dvořák","https://i.discogs.com/ocz7iO06t0rJK0wELhZ5l8BBfj1u4uM9_yagvzStlWE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NjI4MjMtMTUyMTEy/MzQxNy05MjI2Lmpw/ZWc.jpeg"
"Cello Concerto / Cello Concerto No.1","Saint-Saëns","https://i.discogs.com/ocz7iO06t0rJK0wELhZ5l8BBfj1u4uM9_yagvzStlWE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NjI4MjMtMTUyMTEy/MzQxNy05MjI2Lmpw/ZWc.jpeg"
"En Karakatis-Ki","Mon Rivera Y Su Orquesta","https://i.discogs.com/4CURu9eABgJCQ3OBnXmsz-pchGpJDNKAmptZZKWKNHE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/MDcwNzQtMTUxMjQz/NDEyOS0xMTA5Lmpw/ZWc.jpeg"
"Mon Y Sus Trombones","Mon Rivera","https://i.discogs.com/oA9lUNBsWFaroZSv_6RyvQNpjuh6T_dtN3g4Sd-ngSI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ2/MTk1MjktMTUzODI0/NTcwOC05NDE3Lmpw/ZWc.jpeg"
"Concerto No. 5 (Emperor)","Beethoven","https://i.discogs.com/epG9iV22uoVrnyVzbPRY3Zj_ky4KXO_69ciNg59aPRs/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/ODc1OTktMTQwNDIy/NjE0Ni01MDkyLmpw/ZWc.jpeg"
"Concerto No. 5 (Emperor)","Rubinstein","https://i.discogs.com/epG9iV22uoVrnyVzbPRY3Zj_ky4KXO_69ciNg59aPRs/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/ODc1OTktMTQwNDIy/NjE0Ni01MDkyLmpw/ZWc.jpeg"
"Concerto No. 5 (Emperor)","Symphony Of The Air","https://i.discogs.com/epG9iV22uoVrnyVzbPRY3Zj_ky4KXO_69ciNg59aPRs/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/ODc1OTktMTQwNDIy/NjE0Ni01MDkyLmpw/ZWc.jpeg"
"Concerto No. 5 (Emperor)","Krips","https://i.discogs.com/epG9iV22uoVrnyVzbPRY3Zj_ky4KXO_69ciNg59aPRs/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/ODc1OTktMTQwNDIy/NjE0Ni01MDkyLmpw/ZWc.jpeg"
"More Brass","Kai Winding","https://i.discogs.com/301y-QnYLZ8DDwEfUOULPsSp1I2RCBoKzKP3gRgR3CU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc4/MTUwMzMtMTQ0OTM0/ODg5My03MDY5Lmpw/ZWc.jpeg"
"Adventures In A Perambulator / Selections From McGuffey's Readers","John Alden Carpenter","https://i.discogs.com/WU1V40ERuABiwcRKp01Dq-nZ6Ff1wsayObJ9jfwQa14/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcx/OTE2MDEtMTQzNTc4/NDIzNS00NjQ3Lmpw/ZWc.jpeg"
"Adventures In A Perambulator / Selections From McGuffey's Readers","Burrill Phillips","https://i.discogs.com/WU1V40ERuABiwcRKp01Dq-nZ6Ff1wsayObJ9jfwQa14/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcx/OTE2MDEtMTQzNTc4/NDIzNS00NjQ3Lmpw/ZWc.jpeg"
"Adventures In A Perambulator / Selections From McGuffey's Readers","Eastman-Rochester Orchestra","https://i.discogs.com/WU1V40ERuABiwcRKp01Dq-nZ6Ff1wsayObJ9jfwQa14/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcx/OTE2MDEtMTQzNTc4/NDIzNS00NjQ3Lmpw/ZWc.jpeg"
"Adventures In A Perambulator / Selections From McGuffey's Readers","Howard Hanson","https://i.discogs.com/WU1V40ERuABiwcRKp01Dq-nZ6Ff1wsayObJ9jfwQa14/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcx/OTE2MDEtMTQzNTc4/NDIzNS00NjQ3Lmpw/ZWc.jpeg"
"Jackie Davis Meets The Trombones","Jackie Davis","https://i.discogs.com/tRmvOpsZhoOErvKUhtZ3HKDKwvrrmqH_vET-ijtSJaM/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc5/NDQ1NjMtMTYyNzg1/NTc0MS0zNTUxLmpw/ZWc.jpeg"
"Swing Low, Sweet Spiritual","Jack Teagarden","https://i.discogs.com/9YHGSYQ0IgQdmxwzc1iFAcOW2VB-IxYR9GVPBiM77mQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM2/MTU2MzktMTMzNzQ3/NzcyMy0xMDg4Lmpw/ZWc.jpeg"
"Trombone For Two","J.J. Johnson","https://i.discogs.com/rR-_3GA9oWVQLmM6BrO54lOlFMR8JKPespFtVdhrT9Q/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/NzY0NDItMTI5NDAw/ODIzNS5qcGVn.jpeg"
"Trombone For Two","Kai Winding","https://i.discogs.com/rR-_3GA9oWVQLmM6BrO54lOlFMR8JKPespFtVdhrT9Q/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/NzY0NDItMTI5NDAw/ODIzNS5qcGVn.jpeg"
"J.J.!","J. J. Johnson","https://i.discogs.com/_BiTpXbeua99ktLN7eaoue66clm_zFZjWYEsGqA67g4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcw/OTY5MjYtMTU1OTM1/NDkxNy03MDU4Lmpw/ZWc.jpeg"
